;VALE3;PETR4
Média;1.8313512262422265;2.5834452028839414
Mediana;0.6290194876651389;2.0078307160873665
Moda;-27.78059871804004;-44.79085364726389
Desvio Padrão;10.628688090766765;13.082317100129712
Q1;-5.14988980102655;-4.9884849286818405
Q2;0.6290194876651389;2.0078307160873665
Q3;7.608540249041629;8.488837768102623
IQR;12.758430050068178;13.477322696784464
Mínimo;-27.78059871804004;-44.79085364726389
Máximo;29.96699987060836;61.673198193081234
