Data;Acao;Retorno
2015-05-31;VALE3;-11.479020511105231
2015-06-30;VALE3;-8.778058740701288
2015-07-31;VALE3;-2.2963389182084626
2015-08-31;VALE3;0.27980241986638177
2015-09-30;VALE3;-7.477681035243123
2015-10-31;VALE3;4.96224843959745
2015-11-30;VALE3;-22.8018634788537
2015-12-31;VALE3;-1.0630354859238356
2016-01-31;VALE3;-25.4028960241232
2016-02-29;VALE3;21.502048588423794
2016-03-31;VALE3;28.281105775199578
2016-04-30;VALE3;29.96699987060836
2016-05-31;VALE3;-27.78059871804004
2016-06-30;VALE3;14.416299294777968
2016-07-31;VALE3;13.706211430250658
2016-08-31;VALE3;-8.432411591493349
2016-09-30;VALE3;5.1357683006976185
2016-10-31;VALE3;23.97528347327116
2016-11-30;VALE3;27.083322807136568
2016-12-31;VALE3;-7.944121251446989
2017-01-31;VALE3;25.311514002302715
2017-02-28;VALE3;1.6780865233582576
2017-03-31;VALE3;-8.954776424896703
2017-04-30;VALE3;-4.711559929222153
2017-05-31;VALE3;-1.0920838433522206
2017-06-30;VALE3;6.735377808972998
2017-07-31;VALE3;7.931025367029143
2017-08-31;VALE3;12.076702697960018
2017-09-30;VALE3;-9.150523720013249
2017-10-31;VALE3;0.7216820538479274
2017-11-30;VALE3;9.470401869512024
2017-12-31;VALE3;15.794110526029502
2018-01-31;VALE3;2.955810718519203
2018-02-28;VALE3;8.685149278252592
2018-03-31;VALE3;-5.239671621961306
2018-04-30;VALE3;15.304424325200472
2018-05-31;VALE3;4.0271467149525675
2018-06-30;VALE3;-2.054144483387599
2018-07-31;VALE3;10.586809466145453
2018-08-31;VALE3;0.5935587289499944
2018-09-30;VALE3;11.562866043463105
2018-10-31;VALE3;-5.198931659299144
2018-11-30;VALE3;-6.894727027327208
2018-12-31;VALE3;-3.4090946745743644
2019-01-31;VALE3;-10.784304881228335
2019-02-28;VALE3;3.5164563320318143
2019-03-31;VALE3;8.131638797937569
2019-04-30;VALE3;-1.6296900888945531
2019-05-31;VALE3;-2.1955814427086717
2019-06-30;VALE3;5.7550867166533015
2019-07-31;VALE3;-3.878815139216696
2019-08-31;VALE3;-8.512352354758889
2019-09-30;VALE3;4.78384461586141
2019-10-31;VALE3;-1.1518147336422868
2019-11-30;VALE3;5.889840773055965
2019-12-31;VALE3;9.46850825276686
2020-01-31;VALE3;-5.684819218660397
2020-02-29;VALE3;-11.855971161733292
2020-03-31;VALE3;-2.459931041807517
2020-04-30;VALE3;3.794544478733597
2020-05-31;VALE3;18.14533778618501
2020-06-30;VALE3;5.509416586040761
2020-07-31;VALE3;8.565814162016338
2020-08-31;VALE3;-1.6965791307311795
2020-09-30;VALE3;3.1852171921698424
2020-10-31;VALE3;2.436124588983546
2020-11-30;VALE3;28.819181544983195
2020-12-31;VALE3;12.115390008493264
2021-01-31;VALE3;0.5717388715013483
2021-02-28;VALE3;7.470140293649985
2021-03-31;VALE3;8.319476578141138
2021-04-30;VALE3;11.278943335229563
2021-05-31;VALE3;5.283432464305893
2021-06-30;VALE3;0.615503987965127
2021-07-31;VALE3;-3.9646837925791822
2021-08-31;VALE3;-9.26810784326334
2021-09-30;VALE3;-14.714644273352395
2021-10-31;VALE3;-6.0729077000481135
2021-11-30;VALE3;-2.3181286886218677
2021-12-31;VALE3;11.45105278090548
2022-01-31;VALE3;3.7326643478134525
2022-02-28;VALE3;14.109068058350704
2022-03-31;VALE3;7.580619971316427
2022-04-30;VALE3;-12.876560854450581
2022-05-31;VALE3;3.5058174809567744
2022-06-30;VALE3;-11.193588628723672
2022-07-31;VALE3;-8.894995935534277
2022-08-31;VALE3;-2.7339468474406714
2022-09-30;VALE3;11.689936583912885
2022-10-31;VALE3;-6.815681990088707
2022-11-30;VALE3;27.677639828912714
2022-12-31;VALE3;4.051464558722095
2023-01-31;VALE3;6.334395640363866
2023-02-28;VALE3;-9.723848448577566
2023-03-31;VALE3;-3.828814760147281
2023-04-30;VALE3;-9.82686843050028
2023-05-31;VALE3;-11.864653210454401
2023-06-30;VALE3;0.6425349873651509
2023-07-31;VALE3;7.692301082217234
2023-08-31;VALE3;-3.060463061448504
2023-09-30;VALE3;3.8414227310712645
2023-10-31;VALE3;2.101219825961853
2023-11-30;VALE3;10.331350141242668
2023-12-31;VALE3;4.5362333627698925
2024-01-31;VALE3;-12.227980460433185
2024-02-29;VALE3;-1.1363682842744027
2024-03-31;VALE3;-5.1335425149356855
2024-04-30;VALE3;4.044057522268618
2024-05-31;VALE3;-0.1422046468493976
2024-06-30;VALE3;-1.5506331127169037
2024-07-31;VALE3;-0.9482435862418148
2024-08-31;VALE3;0.20524789482527783
2024-09-30;VALE3;6.5961741148444775
2024-10-31;VALE3;-2.2831024639465625
2024-11-30;VALE3;-5.285210600319957
2024-12-31;VALE3;-6.368004739425803
2025-01-31;VALE3;-0.6966167143979685
2025-02-28;VALE3;1.8091259844657204
2025-03-31;VALE3;6.82312428979841
2025-04-30;VALE3;-2.451498008721331
2015-05-31;PETR4;-5.589585699258636
2015-06-30;PETR4;2.919720638335521
2015-07-31;PETR4;-17.33650056315429
2015-08-31;PETR4;-12.392735671075528
2015-09-30;PETR4;-21.2187453243714
2015-10-31;PETR4;6.491722873583838
2015-11-30;PETR4;-0.5188208970873132
2015-12-31;PETR4;-12.646644199164204
2016-01-31;PETR4;-27.761190512457922
2016-02-29;PETR4;6.198319163244914
2016-03-31;PETR4;61.673198193081234
2016-04-30;PETR4;23.104653734650384
2016-05-31;PETR4;-21.407616453138832
2016-06-30;PETR4;17.16418070745633
