Date;Preco
2015-04-30;11.95799446105957
2015-05-31;10.585333824157715
2015-06-30;9.656147003173828
2015-07-31;9.434409141540527
2015-08-31;9.460806846618652
2015-09-30;8.753357887268066
2015-10-31;9.187721252441406
2015-11-30;7.09274959564209
2015-12-31;7.017351150512695
2016-01-31;5.234740734100342
2016-02-29;6.360317230224609
2016-03-31;8.159085273742676
2016-04-30;10.604118347167969
2016-05-31;7.658230781555176
2016-06-30;8.762264251708984
2016-07-31;9.963238716125488
2016-08-31;9.12309741973877
2016-09-30;9.591638565063477
2016-10-31;11.891261100769043
2016-11-30;15.111809730529785
2016-12-31;13.911309242248535
2017-01-31;17.432472229003906
2017-02-28;17.725004196166992
2017-03-31;16.13776969909668
2017-04-30;15.377429008483887
2017-05-31;15.209494590759277
2017-06-30;16.233911514282227
2017-07-31;17.521427154541016
2017-08-31;19.63743782043457
2017-09-30;17.84050941467285
2017-10-31;17.969261169433594
2017-11-30;19.671022415161133
2017-12-31;22.77788543701172
2018-01-31;23.451156616210938
2018-02-28;25.487924575805664
2018-03-31;24.152441024780273
2018-04-30;27.848833084106445
2018-05-31;28.970346450805664
2018-06-30;28.375253677368164
2018-07-31;31.379287719726562
2018-08-31;31.565542221069336
2018-09-30;35.215423583984375
2018-10-31;33.38459777832031
2018-11-30;31.082820892333984
2018-12-31;30.023178100585938
2019-01-31;26.78538703918457
2019-02-28;27.727283477783203
2019-03-31;29.981966018676758
2019-04-30;29.49335289001465
2019-05-31;28.845802307128906
2019-06-30;30.505903244018555
2019-07-31;29.322635650634766
2019-08-31;26.826589584350586
2019-09-30;28.10993194580078
2019-10-31;27.786157608032227
2019-11-30;29.422718048095703
2019-12-31;32.20861053466797
2020-01-31;30.377609252929688
2020-02-29;26.77604866027832
2020-03-31;26.11737632751465
2020-04-30;27.10841178894043
2020-05-31;32.02732467651367
2020-06-30;33.79184341430664
2020-07-31;36.6863899230957
2020-08-31;36.0639762878418
2020-09-30;37.21269226074219
2020-10-31;38.119239807128906
2020-11-30;49.10489273071289
2020-12-31;55.054141998291016
2021-01-31;55.3689079284668
2021-02-28;59.505043029785156
2021-03-31;64.45555114746094
2021-04-30;71.72545623779297
2021-05-31;75.51502227783203
2021-06-30;75.97982025146484
2021-07-31;72.96746063232422
2021-08-31;66.20475769042969
2021-09-30;56.46296310424805
2021-10-31;53.034019470214844
2021-11-30;51.804622650146484
2021-12-31;57.73679733276367
2022-01-31;59.89191818237305
2022-02-28;68.34210968017578
2022-03-31;73.52286529541016
2022-04-30;64.05564880371094
2022-05-31;66.30132293701172
2022-06-30;58.879825592041016
2022-07-31;53.6424674987793
2022-08-31;52.17591094970703
2022-09-30;58.27524185180664
2022-10-31;54.30338668823242
2022-11-30;69.33328247070312
2022-12-31;72.14229583740234
2023-01-31;76.71207427978516
2023-02-28;69.2527084350586
2023-03-31;66.60115051269531
2023-04-30;60.05634307861328
2023-05-31;52.93086624145508
2023-06-30;53.270965576171875
2023-07-31;57.36872863769531
2023-08-31;55.612979888916016
2023-09-30;57.74930953979492
2023-10-31;58.96274948120117
2023-11-30;65.05439758300781
2023-12-31;68.00541687011719
2024-01-31;59.689727783203125
2024-02-29;59.01143264770508
2024-03-31;55.9820556640625
2024-04-30;58.246002197265625
2024-05-31;58.16317367553711
2024-06-30;57.26127624511719
2024-07-31;56.718299865722656
2024-08-31;56.834712982177734
2024-09-30;60.5836296081543
2024-10-31;59.200443267822266
2024-11-30;56.07157516479492
2024-12-31;52.50093460083008
2025-01-31;52.13520431518555
2025-02-28;53.07839584350586
2025-03-31;56.70000076293945
2025-04-30;55.310001373291016
